"Units","scenario","region","gcam-consumer","nodeinput","input","year","value","sce"
"2005$/Mcal/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2025,0.0370294,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2030,0.0367149,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2035,0.03633,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2040,0.0359707,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2045,0.0357266,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2050,0.0355469,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2055,0.0364332,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2060,0.0373125,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2065,0.038177,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2070,0.0390344,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2075,0.0398684,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2080,0.0406875,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2085,0.0414697,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2090,0.0422105,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2095,0.0429173,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2100,0.0435963,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",1975,0.385124,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",1990,0.320242,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2005,0.326498,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2010,0.308137,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2015,0.304967,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2020,0.307211,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2025,0.303753,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2030,0.300859,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2035,0.299814,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2040,0.298612,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2045,0.297411,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2050,0.295594,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2055,0.296505,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2060,0.296859,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2065,0.296887,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2070,0.296598,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2075,0.29608,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2080,0.2955,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2085,0.294863,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2090,0.294136,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2095,0.293396,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2100,0.29258,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",1975,0.02604,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",1990,0.025817,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2005,0.026863,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2010,0.0264329,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2015,0.0261315,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2020,0.0262569,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2025,0.0261297,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2030,0.0260589,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2035,0.0261472,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2040,0.0262027,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2045,0.0262952,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2050,0.0262806,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2055,0.0265494,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2060,0.0267189,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2065,0.0268387,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2070,0.0268985,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2075,0.0269187,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2080,0.0269324,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2085,0.0269308,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2090,0.0269117,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2095,0.0268843,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2100,0.0268379,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",1975,0.559309,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",1990,0.288219,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2005,0.254791,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2010,0.232156,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2015,0.226534,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2020,0.22794,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2025,0.226963,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2030,0.2268,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2035,0.227152,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2040,0.227518,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2045,0.227977,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2050,0.228052,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2055,0.231001,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2060,0.233434,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2065,0.235494,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2070,0.237174,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2075,0.238475,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2080,0.239488,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2085,0.24022,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2090,0.240661,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2095,0.240905,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2100,0.240986,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",1975,0.044549,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",1990,0.0421755,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2005,0.0417657,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2010,0.0441231,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2015,0.0433531,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2020,0.0432214,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2025,0.0428365,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2030,0.042382,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2035,0.0420296,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2040,0.0415285,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2045,0.040998,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2050,0.0404226,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2055,0.040905,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2060,0.0413275,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2065,0.0417079,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2070,0.0420476,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2075,0.0423182,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2080,0.0425467,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2085,0.0427243,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2090,0.042827,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2095,0.0428803,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2100,0.0429512,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",1975,0.390602,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",1990,0.287137,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2005,0.28545,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2010,0.259493,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2015,0.248112,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2020,0.249622,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2025,0.247739,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2030,0.247119,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2035,0.247173,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2040,0.247206,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2045,0.24744,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2050,0.247453,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2055,0.251339,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2060,0.254839,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2065,0.257985,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2070,0.260737,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2075,0.263058,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2080,0.264999,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2085,0.266549,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2090,0.267684,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2095,0.268528,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2100,0.26903,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",1975,0.0528215,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",1990,0.0510511,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2005,0.0497996,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2010,0.0524772,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2015,0.054664,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2020,0.0547994,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2025,0.0547203,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2030,0.054482,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2035,0.0535846,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2040,0.0525424,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2045,0.0516404,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2050,0.0508292,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2055,0.0517771,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2060,0.0526815,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2065,0.053537,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2070,0.0543344,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2075,0.0550448,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2080,0.0556784,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2085,0.056226,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2090,0.0566666,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2095,0.0570375,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2100,0.0573026,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",1975,0.751776,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",1990,0.326043,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2005,0.276584,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2010,0.249561,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2015,0.264681,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2020,0.267007,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2025,0.270037,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2030,0.272315,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2035,0.275278,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2040,0.277804,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2045,0.280011,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2050,0.281302,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2055,0.28374,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2060,0.285645,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2065,0.287179,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2070,0.288366,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2075,0.289251,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2080,0.289913,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2085,0.290348,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2090,0.290521,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2095,0.290486,"1. Agroforestry default"
"2005$/Mcal/day","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2100,0.290193,"1. Agroforestry default"
