Units,scenario,region,sector,year,value
1975$/GJ,Lower Meat Demand,Africa_Northern,biomass,2060,1.37947
1975$/GJ,Lower Meat Demand,Africa_Northern,biomass,2065,1.39632
1975$/GJ,Lower Meat Demand,Africa_Northern,biomass,2070,1.40382
1975$/GJ,Lower Meat Demand,Africa_Northern,biomass,2075,1.4084
1975$/GJ,Lower Meat Demand,Africa_Northern,biomass,2080,1.41036
1975$/GJ,Lower Meat Demand,Africa_Northern,biomass,2085,1.41095
1975$/GJ,Lower Meat Demand,Africa_Northern,biomass,2090,1.41057
1975$/GJ,Lower Meat Demand,Africa_Northern,biomass,2095,1.41097
1975$/GJ,Lower Meat Demand,Africa_Northern,biomass,2100,1.41119
1975$/GJ,Lower Meat Demand,Africa_Southern,biomass,1975,1
1975$/GJ,Lower Meat Demand,Africa_Southern,biomass,1990,1.77343
1975$/GJ,Lower Meat Demand,Africa_Southern,biomass,2005,1.65129
1975$/GJ,Lower Meat Demand,Africa_Southern,biomass,2010,1.85732
1975$/GJ,Lower Meat Demand,Africa_Southern,biomass,2015,1.96323
1975$/GJ,Lower Meat Demand,Africa_Southern,biomass,2020,1.83055
1975$/GJ,Lower Meat Demand,Africa_Southern,biomass,2025,1.35538
1975$/GJ,Lower Meat Demand,Africa_Southern,biomass,2030,1.30038
1975$/GJ,Lower Meat Demand,Africa_Southern,biomass,2035,1.2776
1975$/GJ,Lower Meat Demand,Africa_Southern,biomass,2040,1.31701
1975$/GJ,Lower Meat Demand,Africa_Southern,biomass,2045,1.36021
1975$/GJ,Lower Meat Demand,Africa_Southern,biomass,2050,1.39075
1975$/GJ,Lower Meat Demand,Africa_Southern,biomass,2055,1.42143
1975$/GJ,Lower Meat Demand,Africa_Southern,biomass,2060,1.43613
1975$/GJ,Lower Meat Demand,Africa_Southern,biomass,2065,1.44346
1975$/GJ,Lower Meat Demand,Africa_Southern,biomass,2070,1.44108
1975$/GJ,Lower Meat Demand,Africa_Southern,biomass,2075,1.43309
1975$/GJ,Lower Meat Demand,Africa_Southern,biomass,2080,1.42147
1975$/GJ,Lower Meat Demand,Africa_Southern,biomass,2085,1.40727
1975$/GJ,Lower Meat Demand,Africa_Southern,biomass,2090,1.39196
1975$/GJ,Lower Meat Demand,Africa_Southern,biomass,2095,1.37815
1975$/GJ,Lower Meat Demand,Africa_Southern,biomass,2100,1.36294
1975$/GJ,Lower Meat Demand,Africa_Western,biomass,1975,1
1975$/GJ,Lower Meat Demand,Africa_Western,biomass,1990,1.17624
1975$/GJ,Lower Meat Demand,Africa_Western,biomass,2005,1.30811
1975$/GJ,Lower Meat Demand,Africa_Western,biomass,2010,1.40245
1975$/GJ,Lower Meat Demand,Africa_Western,biomass,2015,1.49506
1975$/GJ,Lower Meat Demand,Africa_Western,biomass,2020,1.47602
1975$/GJ,Lower Meat Demand,Africa_Western,biomass,2025,1.21555
1975$/GJ,Lower Meat Demand,Africa_Western,biomass,2030,1.19876
1975$/GJ,Lower Meat Demand,Africa_Western,biomass,2035,1.19913
1975$/GJ,Lower Meat Demand,Africa_Western,biomass,2040,1.25848
1975$/GJ,Lower Meat Demand,Africa_Western,biomass,2045,1.31645
1975$/GJ,Lower Meat Demand,Africa_Western,biomass,2050,1.36091
1975$/GJ,Lower Meat Demand,Africa_Western,biomass,2055,1.40576
1975$/GJ,Lower Meat Demand,Africa_Western,biomass,2060,1.43547
1975$/GJ,Lower Meat Demand,Africa_Western,biomass,2065,1.45621
1975$/GJ,Lower Meat Demand,Africa_Western,biomass,2070,1.46466
1975$/GJ,Lower Meat Demand,Africa_Western,biomass,2075,1.46463
1975$/GJ,Lower Meat Demand,Africa_Western,biomass,2080,1.4584
1975$/GJ,Lower Meat Demand,Africa_Western,biomass,2085,1.44904
1975$/GJ,Lower Meat Demand,Africa_Western,biomass,2090,1.43708
1975$/GJ,Lower Meat Demand,Africa_Western,biomass,2095,1.42652
1975$/GJ,Lower Meat Demand,Africa_Western,biomass,2100,1.41578
1975$/GJ,Lower Meat Demand,Argentina,biomass,1975,1
1975$/GJ,Lower Meat Demand,Argentina,biomass,1990,1.20728
1975$/GJ,Lower Meat Demand,Argentina,biomass,2005,1.09529
1975$/GJ,Lower Meat Demand,Argentina,biomass,2010,1.15477
1975$/GJ,Lower Meat Demand,Argentina,biomass,2015,1.15242
1975$/GJ,Lower Meat Demand,Argentina,biomass,2020,1.11509
1975$/GJ,Lower Meat Demand,Argentina,biomass,2025,1.04337
1975$/GJ,Lower Meat Demand,Argentina,biomass,2030,1.07323
1975$/GJ,Lower Meat Demand,Argentina,biomass,2035,1.10634
1975$/GJ,Lower Meat Demand,Argentina,biomass,2040,1.19096
1975$/GJ,Lower Meat Demand,Argentina,biomass,2045,1.25466
1975$/GJ,Lower Meat Demand,Argentina,biomass,2050,1.30518
1975$/GJ,Lower Meat Demand,Argentina,biomass,2055,1.33793
1975$/GJ,Lower Meat Demand,Argentina,biomass,2060,1.35741
1975$/GJ,Lower Meat Demand,Argentina,biomass,2065,1.37167
1975$/GJ,Lower Meat Demand,Argentina,biomass,2070,1.3774
1975$/GJ,Lower Meat Demand,Argentina,biomass,2075,1.378
1975$/GJ,Lower Meat Demand,Argentina,biomass,2080,1.37482
1975$/GJ,Lower Meat Demand,Argentina,biomass,2085,1.36861
1975$/GJ,Lower Meat Demand,Argentina,biomass,2090,1.36073
1975$/GJ,Lower Meat Demand,Argentina,biomass,2095,1.35365
1975$/GJ,Lower Meat Demand,Argentina,biomass,2100,1.34474
1975$/GJ,Lower Meat Demand,Australia_NZ,biomass,1975,1
1975$/GJ,Lower Meat Demand,Australia_NZ,biomass,1990,1.45122
1975$/GJ,Lower Meat Demand,Australia_NZ,biomass,2005,1.47237
1975$/GJ,Lower Meat Demand,Australia_NZ,biomass,2010,1.45708
1975$/GJ,Lower Meat Demand,Australia_NZ,biomass,2015,1.40338
1975$/GJ,Lower Meat Demand,Australia_NZ,biomass,2020,1.35255
1975$/GJ,Lower Meat Demand,Australia_NZ,biomass,2025,1.23003
1975$/GJ,Lower Meat Demand,Australia_NZ,biomass,2030,1.21683
1975$/GJ,Lower Meat Demand,Australia_NZ,biomass,2035,1.2386
1975$/GJ,Lower Meat Demand,Australia_NZ,biomass,2040,1.31629
1975$/GJ,Lower Meat Demand,Australia_NZ,biomass,2045,1.39452
1975$/GJ,Lower Meat Demand,Australia_NZ,biomass,2050,1.45858
1975$/GJ,Lower Meat Demand,Australia_NZ,biomass,2055,1.49919
1975$/GJ,Lower Meat Demand,Australia_NZ,biomass,2060,1.52618
1975$/GJ,Lower Meat Demand,Australia_NZ,biomass,2065,1.54484
1975$/GJ,Lower Meat Demand,Australia_NZ,biomass,2070,1.54919
1975$/GJ,Lower Meat Demand,Australia_NZ,biomass,2075,1.54606
1975$/GJ,Lower Meat Demand,Australia_NZ,biomass,2080,1.53792
1975$/GJ,Lower Meat Demand,Australia_NZ,biomass,2085,1.52554
1975$/GJ,Lower Meat Demand,Australia_NZ,biomass,2090,1.51122
1975$/GJ,Lower Meat Demand,Australia_NZ,biomass,2095,1.49843
1975$/GJ,Lower Meat Demand,Australia_NZ,biomass,2100,1.48618
1975$/GJ,Lower Meat Demand,Brazil,biomass,1975,1
1975$/GJ,Lower Meat Demand,Brazil,biomass,1990,1.49579
1975$/GJ,Lower Meat Demand,Brazil,biomass,2005,1.45003
1975$/GJ,Lower Meat Demand,Brazil,biomass,2010,1.46817
1975$/GJ,Lower Meat Demand,Brazil,biomass,2015,1.42957
1975$/GJ,Lower Meat Demand,Brazil,biomass,2020,1.3773
1975$/GJ,Lower Meat Demand,Brazil,biomass,2025,1.24711
1975$/GJ,Lower Meat Demand,Brazil,biomass,2030,1.21266
1975$/GJ,Lower Meat Demand,Brazil,biomass,2035,1.20023
1975$/GJ,Lower Meat Demand,Brazil,biomass,2040,1.23078
1975$/GJ,Lower Meat Demand,Brazil,biomass,2045,1.26749
1975$/GJ,Lower Meat Demand,Brazil,biomass,2050,1.2979
1975$/GJ,Lower Meat Demand,Brazil,biomass,2055,1.32217
1975$/GJ,Lower Meat Demand,Brazil,biomass,2060,1.3368
1975$/GJ,Lower Meat Demand,Brazil,biomass,2065,1.34769
1975$/GJ,Lower Meat Demand,Brazil,biomass,2070,1.35267
1975$/GJ,Lower Meat Demand,Brazil,biomass,2075,1.35361
1975$/GJ,Lower Meat Demand,Brazil,biomass,2080,1.35123
1975$/GJ,Lower Meat Demand,Brazil,biomass,2085,1.3459700000000001
1975$/GJ,Lower Meat Demand,Brazil,biomass,2090,1.33872
1975$/GJ,Lower Meat Demand,Brazil,biomass,2095,1.3319
1975$/GJ,Lower Meat Demand,Brazil,biomass,2100,1.32323
1975$/GJ,Lower Meat Demand,Canada,biomass,1975,1
1975$/GJ,Lower Meat Demand,Canada,biomass,1990,1.24403
1975$/GJ,Lower Meat Demand,Canada,biomass,2005,1.29724
1975$/GJ,Lower Meat Demand,Canada,biomass,2010,1.28398
1975$/GJ,Lower Meat Demand,Canada,biomass,2015,1.23211
1975$/GJ,Lower Meat Demand,Canada,biomass,2020,1.21549
1975$/GJ,Lower Meat Demand,Canada,biomass,2025,0.974125
1975$/GJ,Lower Meat Demand,Canada,biomass,2030,0.965634
1975$/GJ,Lower Meat Demand,Canada,biomass,2035,0.9758
1975$/GJ,Lower Meat Demand,Canada,biomass,2040,1.04386
1975$/GJ,Lower Meat Demand,Canada,biomass,2045,1.11584
1975$/GJ,Lower Meat Demand,Canada,biomass,2050,1.1765
1975$/GJ,Lower Meat Demand,Canada,biomass,2055,1.21438
1975$/GJ,Lower Meat Demand,Canada,biomass,2060,1.23531
1975$/GJ,Lower Meat Demand,Canada,biomass,2065,1.25085
1975$/GJ,Lower Meat Demand,Canada,biomass,2070,1.2578
1975$/GJ,Lower Meat Demand,Canada,biomass,2075,1.2602
1975$/GJ,Lower Meat Demand,Canada,biomass,2080,1.25911
1975$/GJ,Lower Meat Demand,Canada,biomass,2085,1.25489
1975$/GJ,Lower Meat Demand,Canada,biomass,2090,1.24907
1975$/GJ,Lower Meat Demand,Canada,biomass,2095,1.2433
1975$/GJ,Lower Meat Demand,Canada,biomass,2100,1.23539
1975$/GJ,Lower Meat Demand,Central America and Caribbean,biomass,1975,1
1975$/GJ,Lower Meat Demand,Central America and Caribbean,biomass,1990,1.47765
1975$/GJ,Lower Meat Demand,Central America and Caribbean,biomass,2005,1.3516
1975$/GJ,Lower Meat Demand,Central America and Caribbean,biomass,2010,1.42101
1975$/GJ,Lower Meat Demand,Central America and Caribbean,biomass,2015,1.396
1975$/GJ,Lower Meat Demand,Central America and Caribbean,biomass,2020,1.3736
1975$/GJ,Lower Meat Demand,Central America and Caribbean,biomass,2025,1.21513
1975$/GJ,Lower Meat Demand,Central America and Caribbean,biomass,2030,1.20206
1975$/GJ,Lower Meat Demand,Central America and Caribbean,biomass,2035,1.21137
1975$/GJ,Lower Meat Demand,Central America and Caribbean,biomass,2040,1.27843
1975$/GJ,Lower Meat Demand,Central America and Caribbean,biomass,2045,1.34466
1975$/GJ,Lower Meat Demand,Central America and Caribbean,biomass,2050,1.39481
1975$/GJ,Lower Meat Demand,Central America and Caribbean,biomass,2055,1.44063
1975$/GJ,Lower Meat Demand,Central America and Caribbean,biomass,2060,1.46906
1975$/GJ,Lower Meat Demand,Central America and Caribbean,biomass,2065,1.48995
1975$/GJ,Lower Meat Demand,Central America and Caribbean,biomass,2070,1.49999
1975$/GJ,Lower Meat Demand,Central America and Caribbean,biomass,2075,1.50583
1975$/GJ,Lower Meat Demand,Central America and Caribbean,biomass,2080,1.5014
1975$/GJ,Lower Meat Demand,Central America and Caribbean,biomass,2085,1.49568
1975$/GJ,Lower Meat Demand,Central America and Caribbean,biomass,2090,1.48822
1975$/GJ,Lower Meat Demand,Central America and Caribbean,biomass,2095,1.48095
1975$/GJ,Lower Meat Demand,Central America and Caribbean,biomass,2100,1.47224
1975$/GJ,Lower Meat Demand,Central Asia,biomass,1975,1
1975$/GJ,Lower Meat Demand,Central Asia,biomass,1990,0.998187
1975$/GJ,Lower Meat Demand,Central Asia,biomass,2005,1.06134
1975$/GJ,Lower Meat Demand,Central Asia,biomass,2010,1.12435
1975$/GJ,Lower Meat Demand,Central Asia,biomass,2015,1.16048
1975$/GJ,Lower Meat Demand,Central Asia,biomass,2020,1.14592
1975$/GJ,Lower Meat Demand,Central Asia,biomass,2025,1.06523
1975$/GJ,Lower Meat Demand,Central Asia,biomass,2030,1.10893
1975$/GJ,Lower Meat Demand,Central Asia,biomass,2035,1.14508
1975$/GJ,Lower Meat Demand,Central Asia,biomass,2040,1.22644
1975$/GJ,Lower Meat Demand,Central Asia,biomass,2045,1.29163
1975$/GJ,Lower Meat Demand,Central Asia,biomass,2050,1.3386
1975$/GJ,Lower Meat Demand,Central Asia,biomass,2055,1.36941
1975$/GJ,Lower Meat Demand,Central Asia,biomass,2060,1.38733
1975$/GJ,Lower Meat Demand,Central Asia,biomass,2065,1.40104
1975$/GJ,Lower Meat Demand,Central Asia,biomass,2070,1.40665
1975$/GJ,Lower Meat Demand,Central Asia,biomass,2075,1.40701
1975$/GJ,Lower Meat Demand,Central Asia,biomass,2080,1.40414
1975$/GJ,Lower Meat Demand,Central Asia,biomass,2085,1.39839
1975$/GJ,Lower Meat Demand,Central Asia,biomass,2090,1.39125
1975$/GJ,Lower Meat Demand,Central Asia,biomass,2095,1.38562
1975$/GJ,Lower Meat Demand,Central Asia,biomass,2100,1.37693
1975$/GJ,Lower Meat Demand,China,biomass,1975,1
1975$/GJ,Lower Meat Demand,China,biomass,1990,0.779626
1975$/GJ,Lower Meat Demand,China,biomass,2005,0.828834
1975$/GJ,Lower Meat Demand,China,biomass,2010,0.901205
1975$/GJ,Lower Meat Demand,China,biomass,2015,0.943499
1975$/GJ,Lower Meat Demand,China,biomass,2020,0.977769
1975$/GJ,Lower Meat Demand,China,biomass,2025,1.01096
1975$/GJ,Lower Meat Demand,China,biomass,2030,1.06157
1975$/GJ,Lower Meat Demand,China,biomass,2035,1.09949
1975$/GJ,Lower Meat Demand,China,biomass,2040,1.18108
1975$/GJ,Lower Meat Demand,China,biomass,2045,1.24154
1975$/GJ,Lower Meat Demand,China,biomass,2050,1.28588
1975$/GJ,Lower Meat Demand,China,biomass,2055,1.31888
1975$/GJ,Lower Meat Demand,China,biomass,2060,1.3354
1975$/GJ,Lower Meat Demand,China,biomass,2065,1.34646
1975$/GJ,Lower Meat Demand,China,biomass,2070,1.347
1975$/GJ,Lower Meat Demand,China,biomass,2075,1.34246
1975$/GJ,Lower Meat Demand,China,biomass,2080,1.33662
1975$/GJ,Lower Meat Demand,China,biomass,2085,1.32718
1975$/GJ,Lower Meat Demand,China,biomass,2090,1.31562
1975$/GJ,Lower Meat Demand,China,biomass,2095,1.30383
1975$/GJ,Lower Meat Demand,China,biomass,2100,1.28761
1975$/GJ,Lower Meat Demand,Colombia,biomass,1975,1
1975$/GJ,Lower Meat Demand,Colombia,biomass,1990,1.25579
1975$/GJ,Lower Meat Demand,Colombia,biomass,2005,1.17805
1975$/GJ,Lower Meat Demand,Colombia,biomass,2010,1.2079
1975$/GJ,Lower Meat Demand,Colombia,biomass,2015,1.19754
1975$/GJ,Lower Meat Demand,Colombia,biomass,2020,1.21121
1975$/GJ,Lower Meat Demand,Colombia,biomass,2025,1.08223
1975$/GJ,Lower Meat Demand,Colombia,biomass,2030,1.0759
1975$/GJ,Lower Meat Demand,Colombia,biomass,2035,1.08598
1975$/GJ,Lower Meat Demand,Colombia,biomass,2040,1.15126
1975$/GJ,Lower Meat Demand,Colombia,biomass,2045,1.21258
1975$/GJ,Lower Meat Demand,Colombia,biomass,2050,1.25039
1975$/GJ,Lower Meat Demand,Colombia,biomass,2055,1.28102
1975$/GJ,Lower Meat Demand,Colombia,biomass,2060,1.30063
1975$/GJ,Lower Meat Demand,Colombia,biomass,2065,1.31666
1975$/GJ,Lower Meat Demand,Colombia,biomass,2070,1.32616
1975$/GJ,Lower Meat Demand,Colombia,biomass,2075,1.33212
1975$/GJ,Lower Meat Demand,Colombia,biomass,2080,1.33564
1975$/GJ,Lower Meat Demand,Colombia,biomass,2085,1.33647
1975$/GJ,Lower Meat Demand,Colombia,biomass,2090,1.33535
1975$/GJ,Lower Meat Demand,Colombia,biomass,2095,1.33452
1975$/GJ,Lower Meat Demand,Colombia,biomass,2100,1.33222
1975$/GJ,Lower Meat Demand,EU-12,biomass,1975,1
1975$/GJ,Lower Meat Demand,EU-12,biomass,1990,0.97094
1975$/GJ,Lower Meat Demand,EU-12,biomass,2005,1.31985
1975$/GJ,Lower Meat Demand,EU-12,biomass,2010,1.40667
1975$/GJ,Lower Meat Demand,EU-12,biomass,2015,1.36664
1975$/GJ,Lower Meat Demand,EU-12,biomass,2020,1.39023
1975$/GJ,Lower Meat Demand,EU-12,biomass,2025,1.08649
1975$/GJ,Lower Meat Demand,EU-12,biomass,2030,1.03337
1975$/GJ,Lower Meat Demand,EU-12,biomass,2035,1.02254
1975$/GJ,Lower Meat Demand,EU-12,biomass,2040,1.0838
1975$/GJ,Lower Meat Demand,EU-12,biomass,2045,1.15016
1975$/GJ,Lower Meat Demand,EU-12,biomass,2050,1.20592
1975$/GJ,Lower Meat Demand,EU-12,biomass,2055,1.24051
1975$/GJ,Lower Meat Demand,EU-12,biomass,2060,1.26183
1975$/GJ,Lower Meat Demand,EU-12,biomass,2065,1.27999
1975$/GJ,Lower Meat Demand,EU-12,biomass,2070,1.28735
1975$/GJ,Lower Meat Demand,EU-12,biomass,2075,1.28818
1975$/GJ,Lower Meat Demand,EU-12,biomass,2080,1.28558
1975$/GJ,Lower Meat Demand,EU-12,biomass,2085,1.27921
1975$/GJ,Lower Meat Demand,EU-12,biomass,2090,1.27104
1975$/GJ,Lower Meat Demand,EU-12,biomass,2095,1.26317
1975$/GJ,Lower Meat Demand,EU-12,biomass,2100,1.25162
1975$/GJ,Lower Meat Demand,EU-15,biomass,1975,1
1975$/GJ,Lower Meat Demand,EU-15,biomass,1990,1.21745
1975$/GJ,Lower Meat Demand,EU-15,biomass,2005,1.3803
1975$/GJ,Lower Meat Demand,EU-15,biomass,2010,1.67795
1975$/GJ,Lower Meat Demand,EU-15,biomass,2015,1.94087
1975$/GJ,Lower Meat Demand,EU-15,biomass,2020,1.80458
1975$/GJ,Lower Meat Demand,EU-15,biomass,2025,0.913149
1975$/GJ,Lower Meat Demand,EU-15,biomass,2030,0.870458
1975$/GJ,Lower Meat Demand,EU-15,biomass,2035,0.862737
1975$/GJ,Lower Meat Demand,EU-15,biomass,2040,0.923982
1975$/GJ,Lower Meat Demand,EU-15,biomass,2045,0.992028
1975$/GJ,Lower Meat Demand,EU-15,biomass,2050,1.0488
1975$/GJ,Lower Meat Demand,EU-15,biomass,2055,1.08981
1975$/GJ,Lower Meat Demand,EU-15,biomass,2060,1.11551
1975$/GJ,Lower Meat Demand,EU-15,biomass,2065,1.13563
1975$/GJ,Lower Meat Demand,EU-15,biomass,2070,1.14392
1975$/GJ,Lower Meat Demand,EU-15,biomass,2075,1.14659
1975$/GJ,Lower Meat Demand,EU-15,biomass,2080,1.14508
1975$/GJ,Lower Meat Demand,EU-15,biomass,2085,1.13844
1975$/GJ,Lower Meat Demand,EU-15,biomass,2090,1.12883
1975$/GJ,Lower Meat Demand,EU-15,biomass,2095,1.11899
1975$/GJ,Lower Meat Demand,EU-15,biomass,2100,1.10653
1975$/GJ,Lower Meat Demand,Europe_Eastern,biomass,1975,1
1975$/GJ,Lower Meat Demand,Europe_Eastern,biomass,1990,0.967504
1975$/GJ,Lower Meat Demand,Europe_Eastern,biomass,2005,1.16286
1975$/GJ,Lower Meat Demand,Europe_Eastern,biomass,2010,1.22584
1975$/GJ,Lower Meat Demand,Europe_Eastern,biomass,2015,1.18957
1975$/GJ,Lower Meat Demand,Europe_Eastern,biomass,2020,1.18046
1975$/GJ,Lower Meat Demand,Europe_Eastern,biomass,2025,1.04833
1975$/GJ,Lower Meat Demand,Europe_Eastern,biomass,2030,1.06466
1975$/GJ,Lower Meat Demand,Europe_Eastern,biomass,2035,1.08687
1975$/GJ,Lower Meat Demand,Europe_Eastern,biomass,2040,1.16859
1975$/GJ,Lower Meat Demand,Europe_Eastern,biomass,2045,1.24481
1975$/GJ,Lower Meat Demand,Europe_Eastern,biomass,2050,1.30544
1975$/GJ,Lower Meat Demand,Europe_Eastern,biomass,2055,1.3441
1975$/GJ,Lower Meat Demand,Europe_Eastern,biomass,2060,1.36827
1975$/GJ,Lower Meat Demand,Europe_Eastern,biomass,2065,1.38715
1975$/GJ,Lower Meat Demand,Europe_Eastern,biomass,2070,1.39607
1975$/GJ,Lower Meat Demand,Europe_Eastern,biomass,2075,1.39955
1975$/GJ,Lower Meat Demand,Europe_Eastern,biomass,2080,1.39889
1975$/GJ,Lower Meat Demand,Europe_Eastern,biomass,2085,1.39451
1975$/GJ,Lower Meat Demand,Europe_Eastern,biomass,2090,1.38804
1975$/GJ,Lower Meat Demand,Europe_Eastern,biomass,2095,1.38227
1975$/GJ,Lower Meat Demand,Europe_Eastern,biomass,2100,1.37384
1975$/GJ,Lower Meat Demand,Europe_Non_EU,biomass,1975,1
1975$/GJ,Lower Meat Demand,Europe_Non_EU,biomass,1990,1.51538
1975$/GJ,Lower Meat Demand,Europe_Non_EU,biomass,2005,1.41326
1975$/GJ,Lower Meat Demand,Europe_Non_EU,biomass,2010,1.36146
1975$/GJ,Lower Meat Demand,Europe_Non_EU,biomass,2015,1.29048
1975$/GJ,Lower Meat Demand,Europe_Non_EU,biomass,2020,1.26673
1975$/GJ,Lower Meat Demand,Europe_Non_EU,biomass,2025,1.035
1975$/GJ,Lower Meat Demand,Europe_Non_EU,biomass,2030,1.02221
1975$/GJ,Lower Meat Demand,Europe_Non_EU,biomass,2035,1.03582
1975$/GJ,Lower Meat Demand,Europe_Non_EU,biomass,2040,1.11432
1975$/GJ,Lower Meat Demand,Europe_Non_EU,biomass,2045,1.1967
1975$/GJ,Lower Meat Demand,Europe_Non_EU,biomass,2050,1.25894
1975$/GJ,Lower Meat Demand,Europe_Non_EU,biomass,2055,1.30065
1975$/GJ,Lower Meat Demand,Europe_Non_EU,biomass,2060,1.32642
1975$/GJ,Lower Meat Demand,Europe_Non_EU,biomass,2065,1.34679
1975$/GJ,Lower Meat Demand,Europe_Non_EU,biomass,2070,1.35545
1975$/GJ,Lower Meat Demand,Europe_Non_EU,biomass,2075,1.35725
1975$/GJ,Lower Meat Demand,Europe_Non_EU,biomass,2080,1.35488
1975$/GJ,Lower Meat Demand,Europe_Non_EU,biomass,2085,1.34904
1975$/GJ,Lower Meat Demand,Europe_Non_EU,biomass,2090,1.34145
1975$/GJ,Lower Meat Demand,Europe_Non_EU,biomass,2095,1.33442
1975$/GJ,Lower Meat Demand,Europe_Non_EU,biomass,2100,1.3245
1975$/GJ,Lower Meat Demand,European Free Trade Association,biomass,1975,1
1975$/GJ,Lower Meat Demand,European Free Trade Association,biomass,1990,1.66318
1975$/GJ,Lower Meat Demand,European Free Trade Association,biomass,2005,2.13109
1975$/GJ,Lower Meat Demand,European Free Trade Association,biomass,2010,2.51663
1975$/GJ,Lower Meat Demand,European Free Trade Association,biomass,2015,2.56339
1975$/GJ,Lower Meat Demand,European Free Trade Association,biomass,2020,2.55205
1975$/GJ,Lower Meat Demand,European Free Trade Association,biomass,2025,0.530094
1975$/GJ,Lower Meat Demand,European Free Trade Association,biomass,2030,0.531147
1975$/GJ,Lower Meat Demand,European Free Trade Association,biomass,2035,0.54447
1975$/GJ,Lower Meat Demand,European Free Trade Association,biomass,2040,0.596631
1975$/GJ,Lower Meat Demand,European Free Trade Association,biomass,2045,0.651486
1975$/GJ,Lower Meat Demand,European Free Trade Association,biomass,2050,0.698357
1975$/GJ,Lower Meat Demand,European Free Trade Association,biomass,2055,0.729174
1975$/GJ,Lower Meat Demand,European Free Trade Association,biomass,2060,0.749359
1975$/GJ,Lower Meat Demand,European Free Trade Association,biomass,2065,0.765702
1975$/GJ,Lower Meat Demand,European Free Trade Association,biomass,2070,0.773912
1975$/GJ,Lower Meat Demand,European Free Trade Association,biomass,2075,0.77745
1975$/GJ,Lower Meat Demand,European Free Trade Association,biomass,2080,0.777484
1975$/GJ,Lower Meat Demand,European Free Trade Association,biomass,2085,0.774106
1975$/GJ,Lower Meat Demand,European Free Trade Association,biomass,2090,0.768907
1975$/GJ,Lower Meat Demand,European Free Trade Association,biomass,2095,0.763661
1975$/GJ,Lower Meat Demand,European Free Trade Association,biomass,2100,0.756199
1975$/GJ,Lower Meat Demand,India,biomass,1975,1
1975$/GJ,Lower Meat Demand,India,biomass,1990,1.14806
1975$/GJ,Lower Meat Demand,India,biomass,2005,1.1785
1975$/GJ,Lower Meat Demand,India,biomass,2010,1.21977
1975$/GJ,Lower Meat Demand,India,biomass,2015,1.24496
1975$/GJ,Lower Meat Demand,India,biomass,2020,1.2593
1975$/GJ,Lower Meat Demand,India,biomass,2025,1.24739
1975$/GJ,Lower Meat Demand,India,biomass,2030,1.25435
