"Units","scenario","region","gcam-consumer","nodeinput","input","year","value","sce"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",1990,30.7199,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2005,51.3505,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2010,66.7648,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2015,80.7423,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2020,92.0683,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2025,103.421,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2030,116.516,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2035,128.826,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2040,140.538,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2045,151.503,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2050,161.47,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2055,170.311,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2060,178.145,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2065,184.914,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2070,190.416,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2075,194.702,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2080,197.992,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2085,200.45,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2090,202.248,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2095,203.376,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2100,203.907,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",1975,54.5705,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",1990,98.0733,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2005,128.911,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2010,132.977,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2015,138.846,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2020,146.315,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2025,152.929,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2030,158.254,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2035,162.97,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2040,167.135,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2045,170.668,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2050,173.332,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2055,175.127,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2060,176.065,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2065,176.265,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2070,175.756,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2075,174.645,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2080,173.13,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2085,171.309,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2090,169.295,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2095,167.048,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2100,164.637,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",1975,8.64866,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",1990,13.3899,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2005,23.4411,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2010,34.8298,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2015,47.0008,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2020,52.622,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2025,61.4236,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2030,72.475,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2035,84.4525,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2040,98.4859,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2045,114.731,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2050,133.092,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2055,152.848,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2060,173.777,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2065,195.451,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2070,217.353,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2075,238.859,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2080,259.664,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2085,279.424,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2090,297.681,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2095,314.204,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2100,328.834,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",1975,30.3187,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",1990,45.009,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2005,66.454,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2010,75.9178,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2015,83.3973,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2020,93.5192,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2025,102.686,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2030,111.128,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2035,119.236,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2040,126.554,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2045,132.777,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2050,138.07,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2055,142.46,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2060,146.146,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2065,149.35,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2070,152.144,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2075,154.482,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2080,156.477,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2085,158.133,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2090,159.312,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2095,160.036,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2100,160.314,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",1975,32.8106,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",1990,46.9265,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2005,81.3673,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2010,113.358,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2015,140.089,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2020,157.687,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2025,184.37,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2030,226.297,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2035,273.782,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2040,327.898,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2045,388.446,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2050,455.015,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2055,524.841,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2060,597.621,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2065,672.24,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2070,746.925,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2075,819.856,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2080,889.542,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2085,954.697,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2090,1014.66,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2095,1069.09,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_NonStaples",2100,1117.86,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",1975,76.6074,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",1990,135.7,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2005,211.468,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2010,253.525,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2015,294.186,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2020,330.665,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2025,365.768,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2030,396.111,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2035,425.441,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2040,453.15,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2045,479.173,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2050,503.653,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2055,525.079,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2060,543.998,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2065,561.499,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2070,577.485,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2075,591.761,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2080,604.246,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2085,614.726,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2090,623.253,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2095,630.107,"1. Agroforestry default"
"Pcal/yr","Reference","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2100,635.45,"1. Agroforestry default"
"Pcal/yr","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",1975,15.9534,"1. Agroforestry default"
"Pcal/yr","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",1990,18.8781,"1. Agroforestry default"
"Pcal/yr","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2005,22.4955,"1. Agroforestry default"
"Pcal/yr","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2010,25.9407,"1. Agroforestry default"
"Pcal/yr","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2015,29.4018,"1. Agroforestry default"
"Pcal/yr","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2020,30.0085,"1. Agroforestry default"
"Pcal/yr","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2025,32.2304,"1. Agroforestry default"
"Pcal/yr","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2030,34.3018,"1. Agroforestry default"
"Pcal/yr","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2035,36.1817,"1. Agroforestry default"
"Pcal/yr","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2040,37.8582,"1. Agroforestry default"
"Pcal/yr","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2045,39.2888,"1. Agroforestry default"
"Pcal/yr","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2050,40.542,"1. Agroforestry default"
"Pcal/yr","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2055,41.5862,"1. Agroforestry default"
"Pcal/yr","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2060,42.4403,"1. Agroforestry default"
"Pcal/yr","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2065,43.1374,"1. Agroforestry default"
"Pcal/yr","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2070,43.6505,"1. Agroforestry default"
"Pcal/yr","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2075,43.982,"1. Agroforestry default"
"Pcal/yr","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2080,44.1563,"1. Agroforestry default"
"Pcal/yr","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2085,44.2316,"1. Agroforestry default"
"Pcal/yr","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2090,44.2256,"1. Agroforestry default"
"Pcal/yr","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2095,44.1388,"1. Agroforestry default"
"Pcal/yr","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_NonStaples",2100,43.9772,"1. Agroforestry default"
"Pcal/yr","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_Staples",1975,12.9603,"1. Agroforestry default"
"Pcal/yr","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_Staples",1990,15.9662,"1. Agroforestry default"
"Pcal/yr","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_Staples",2005,16.5584,"1. Agroforestry default"
"Pcal/yr","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_Staples",2010,20.962,"1. Agroforestry default"
"Pcal/yr","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_Staples",2015,19.543,"1. Agroforestry default"
"Pcal/yr","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_Staples",2020,20.3102,"1. Agroforestry default"
"Pcal/yr","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_Staples",2025,20.7738,"1. Agroforestry default"
"Pcal/yr","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_Staples",2030,21.1845,"1. Agroforestry default"
"Pcal/yr","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_Staples",2035,21.5428,"1. Agroforestry default"
"Pcal/yr","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_Staples",2040,21.8549,"1. Agroforestry default"
"Pcal/yr","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_Staples",2045,22.0857,"1. Agroforestry default"
"Pcal/yr","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_Staples",2050,22.2375,"1. Agroforestry default"
"Pcal/yr","Reference","Argentina","FoodDemand","FoodDemand","FoodDemand_Staples",2055,22.3061,"1. Agroforestry default"
